ID_Jugador,Nombre_Jugador,Equipo,Liga,Pais_Origen,Posicion,Nivel_Rendimiento,Estado_Fisico,Valoracion_Tecnica,Edad_Jugador,Goles_Temporada,Asistencias_Temporada,Partidos_Jugados,Tarjetas_Amarillas,Tarjetas_Rojas,Valor_Mercado_Millones,Salario_Semanal_Miles,Minutos_Jugados,Distancia_Recorrida_Km,Precision_Pases_Porcentaje
8001,kevin de bruyne,Manchester City,Premier League,Belgica,mediocampista,REGULAR,lesionado,1-2,22,1,14,36,3,0,44.61,65.36,1359.0,218.5,87.9
8002, Marco Reus ,  Borussia Dortmund,bundesliga,Alemania ,Mediocampista , Excelente ,REGULAR, 3-4 ,18,18,12,39,7,0,7.45,10.37,2295.0,214.2,72.2
8003,bukayo saka,Arsenal,Premier League,Inglaterra,DELANTERO,bueno ,Regular,7-8,35,8,3,16,4,0,71.99,306.67,1834.0,171.8,65.9
8004,RAFAEL LEAO,ac milan, Serie A , Portugal ,Delantero , Excelente , Optimo ,7-8,39,19,4,26,4,1,35.14,59.59,2160.0,229.4,89.3
8005,LEROY SANE,BAYERN MUNICH,BUNDESLIGA,  Alemania,  Delantero,BAJO,Bueno,3-4,34,11,7,22,3,0,11.93,56.44,1558.0,177.7,81.9
8006, Gregor Kobel ,borussia dortmund,bundesliga,  Suiza,portero, Excelente , Optimo ,1-2,37,14,12,28,5,0,,9.94,1168.0,214.6,75.5
8007,lautaro martinez,  Inter Milan, Serie A ,ARGENTINA,  Delantero,Regular, Optimo ,1-2,35,14,11,31,3,0,11.87,64.15,1649.0,214.5,73.7
8008,PAULO DYBALA,AS ROMA, Serie A ,  Argentina,  Delantero, bajo ,optimo,1-2,20,13,15,17,3,1,21.78,70.99,1369.0,246.2,70.1
8009,erling  haaland,Manchester City ,premier league,noruega,Delantero ,Regular,optimo,5-6,32,15,1,10,5,1,25.2,,1083.0,269.9,98.8
8010,Victor Osimhen,  Napoli,  Serie A,  Nigeria,delantero, Excelente ,Lesionado,5-6,18,12,10,29,2,1,10.97,12.25,2134.0,161.9,73.0
8011,karim benzema,REAL MADRID,  La Liga,  Francia, Delantero ,bueno ,bueno,3-4,21,8,6,26,2,0,19.74,22.82,2106.0,158.3,63.0
8012,LIONEL MESSI,psg,Ligue 1 ,argentina, Delantero ,BUENO,bueno,9-10,36,8,11,11,7,0,158.69,22.65,1736.0,191.2,84.2
8013,khvicha kvaratskhelia,Napoli ,Serie A ,GEORGIA,Delantero,BAJO, bueno , 5-6 ,29,10,13,35,0,0,25.31,11.12,1453.0,196.0,
8014,serge gnabry,Bayern Munich ,Bundesliga,Alemania,DELANTERO, Regular,optimo,3-4,19,10,8,34,3,0,3.44,27.02,2067.0,214.2,76.7
8015,victor osimhen,Napoli ,SERIE A, Nigeria ,DELANTERO, bajo ,bueno,1-2,33,12,9,13,0,0,31.86,81.12,3235.0,237.9,71.3
8016,virgil van dijk, Liverpool ,  Premier League,Paises Bajos, Defensa ,REGULAR,Optimo,3-4,20,13,9,20,3,0,500.0,138.67,1601.0,170.5,90.1
8017,lionel messi, PSG ,ligue 1,Argentina,Delantero ,BAJO, Optimo ,9-10,29,17,9,21,1,1,1.37,,2718.0,149.1,82.8
8018,Kylian Mbappé,PSG ,Ligue 1,FRANCIA,delantero, bajo , bueno ,7-8,20,10,3,26,8,1,14.7,10.63,3203.0,204.9,
8019,karim benzema,Real Madrid, La Liga , Francia , Delantero ,excelente,bueno, 5-6 ,21,4,13,21,1,0,0.53,34.62,,238.6,84.7
8020,HARRY KANE,TOTTENHAM,premier league,INGLATERRA,DELANTERO,EXCELENTE,bueno,1-2,39,10,6,21,3,0,6.3,311.06,2439.0,238.3,54.9
8021,  Erling Haaland  ,  AS Roma,  Serie A,argentina,  Delantero, bajo ,OPTIMO,9-10,22,14,6,21,3,0,16.03,20.7,2802.0,229.8,59.9
8022, Paulo Dybala ,as roma,Serie A,  Argentina, Delantero ,bajo, bueno ,1-2,22,10,10,13,1,0,28.54,10.75,3164.0,203.1,84.3
